Supply Track	Selected Count	Target	Shortage Before Fill
Office and facility consumables	47	40	19
MRO tools and commercial hardware	24	30	26
Packaging, shipping, storage and containers	4	15	13
Basic IT accessories and standard equipment	9	10	1
Mixed controls	16	5	
